Name,Id,Blood Glucose,Hemoglobin A1c,Glycated Albumin,Total Cholesterol,LDL Cholesterol,HDL Cholesterol,Triglycerides,Apolipoprotein A1,Apolipoprotein B,Vitamin D,Vitamin C,Vitamin K,Vitamin B6 (Pyridoxine),Vitamin B1 (Thiamine),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B5 (Pantothenic Acid),Vitamin B7 (Biotin),Vitamin B9 (Folate),Vitamin B12 (Cobalamin),Vitamin A,Creatinine,Uric Acid,Blood Urea Nitrogen,Cystatin C,Sodium,Potassium,Calcium,Magnesium,Phosphate,Chloride,Bicarbonate,Iron,Globulin,Albumin,Total Protein,Albumin/Globulin Ratio,C-Reactive Protein,Haptoglobin,Transferrin,C-Peptide,Testosterone,Estrogen,Progesterone,Cortisol,Aldosterone,Thyroid-Stimulating Hormone (TSH),Free Thyroxine (Free T4),Free Triiodothyronine (Free T3),Aspartate Aminotransferase,Alanine Aminotransferase,Alkaline Phosphatase,Gamma-Glutamyl Transferase,Bilirubin,Lactate Dehydrogenase,Prothrombin Time,Partial Thromboplastin Time,Fibrinogen
Strawberry,93a383c6-a7f7-4aaf-8eb3-6744116f287f,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,1,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blueberry,7ec73f94-8350-4709-8e04-fd67b0ac1670,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Raspberry,58d45e02-7622-4929-a28e-49ecd686fda1,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange,4ef7f93e-0965-45da-9c29-b9b736ff4dc0,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,0,0,1,0,0,1,0,1,0,0,0,-1,-1,0,-1,1,1,1,0,0,1,0,1,1,1,1,-1,0,1,0,0,-1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1
Lime,a128309d-ff09-46ba-94f4-639bd85ea2d5,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandarin,316c93e0-da5c-41b3-b385-cf98600c73e4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banana,528c2150-febf-49ce-b089-cd3b8bede50a,1,1,1,1,1,-1,1,-1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
Mango,b7723ebb-f410-450b-bf5d-185408ed05c2,1,1,1,1,1,-1,1,-1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,1,1,0,0,1,0,1,0
Pineapple,9f3e0cd5-076a-464c-8e56-eb54e2b9f015,1,1,1,1,1,-1,1,-1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,-1,1,-1,1,-1,-1,-1,0,0,-1,0,0,0,-1,0,0,1,1,0,0,1,0,0,0
Guava,a3575723-20b1-4f57-93d6-377de5789087,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Kiwi,0d2da7da-a1df-450b-96cc-a7b695ae90dc,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,-1,1,1,1,0,0,0,1,1,1,1,1,-1,1,1,1,1,0,0,1,0,-1,0,1,0,0,0,0,-1,0,0,0,-1
