,Strawberry,Blueberry,Raspberry,Orange,Lime,Mandarin,Banana,Mango,Pineapple,Guava,Kiwi,Peach,Plum,Apricot,Cherry,Watermelon,Muskmelon,Apple,Pear,Spinach,Kale,Lettuce,Broccoli,Cauliflower,Cabbage,Green Peas,Lentils,Chickpeas,Kidney Beans,Carrots,Sweet Potatoes,Beets,Radishes,Potatoes,Yams,Cassava,Butternut Squash,Zucchini,Pumpkin,Cucumber,Tomatoes,Bell Peppers,Eggplants,Garlic,Onion,Chives,Celery,Asparagus,Fennel,Basil,Cilantro,Parsley,Mint,Thyme,Rosemary,Oregano,Ginger,Turmeric,Horseradish,Button Mushrooms,Shiitake Mushrooms,Portobello Mushrooms,Oyster Mushrooms,Alfalfa Sprouts,Bean Sprouts,Broccoli Sprouts,Almond,Cashew,Chestnut,Hazelnut,Pistachio,Walnut,Pine Nut,Sunflower Seed,Pumpkin Seed,Chia Seed,Flax Seed,Sesame Seed,Wheat,Rice,Corn,Barley,Oats,Millet,Salmon,Mackerel,Sardines,Tuna,Cod,Haddock,Tilapia,Halibut,Pollock,Shrimp,Crab,Oysters,Lobster,Mussels,Chicken,Beef,Lamb,Pork,Bacon,Sausage,Ham,Salami,Pepperoni,Whole Milk,Almond Milk,Soy Milk,Cheddar,Mozzarella,Greek Yogurt,Yogurt,Butter,Ghee,Pastries,Cookies,Brownies,Muffins,Bread,Croissants,Ice Cream,Pies,Cakes,Donuts,Cereals,Pancakes,Waffles,Oatmeal,Eggs,Coca Cola,Pepsi,Coffee,Tea,Lemonade,Beer,Mayonnaise,Guacamole,Salsa,Ketchup,Potato Chips,Popcorn,Crackers,Beef Jerky,Burgers,French Fries,Pizza,Chicken Nuggets,Tacos
Blood Glucose,0.1,0.1,0.1,0.4,0.0,0.3,0.6,0.5,0.6,0.3,0.2,0.3,0.2,0.2,0.3,0.4,0.4,0.4,0.4,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,0.3,-0.3,-0.2,-0.3,0.2,0.4,0.3,-0.1,0.5,0.5,0.6,0.3,0.1,0.3,0.0,0.1,0.1,0.1,-0.1,0.1,0.0,-0.1,-0.2,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.1,-0.1,-0.2,-0.1,-0.3,-0.1,-0.1,-0.1,-0.3,-0.3,-0.2,0.5,0.6,0.5,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,-0.1,-0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.4,0.0,0.8,0.8,0.0,0.0,0.6,0.5,0.1,-0.2,0.1,0.5,0.6,0.4,0.5,0.1,0.4,0.6,0.6,0.5,0.4
Hemoglobin A1c,-0.3,-0.2,-0.3,0.1,0.0,0.1,0.3,0.3,0.4,-0.2,0.1,0.1,0.0,0.1,0.2,0.3,0.2,0.2,0.1,-0.4,-0.5,-0.4,-0.5,-0.5,-0.4,0.0,-0.3,-0.2,-0.3,0.1,0.3,0.2,-0.3,0.5,0.4,0.5,0.2,-0.2,0.1,-0.3,-0.2,-0.3,-0.2,-0.4,0.0,-0.3,-0.4,-0.4,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.4,0.0,-0.3,-0.3,-0.3,-0.3,-0.4,-0.3,-0.4,-0.2,0.1,0.2,-0.1,0.0,-0.1,0.0,-0.1,-0.1,-0.4,-0.4,0.0,0.5,0.5,0.3,0.0,-0.2,-0.2,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,0.2,0.2,0.3,0.5,0.5,0.4,0.4,0.4,0.2,0.0,0.0,0.1,0.1,-0.2,0.0,0.4,0.3,0.8,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.8,0.6,0.5,0.5,-0.2,-0.1,0.9,0.9,-0.1,-0.2,0.3,0.4,0.3,-0.2,-0.1,0.4,0.7,0.3,0.5,0.3,0.6,0.8,0.7,0.6,0.4
Glycated Albumin,-0.5,-0.6,-0.4,-0.2,-0.3,-0.2,0.2,0.3,0.1,-0.1,-0.2,-0.1,-0.3,-0.2,-0.4,-0.3,-0.3,0.1,0.0,-0.6,-0.7,-0.5,-0.7,-0.5,-0.5,0.0,-0.2,-0.1,0.0,0.1,0.3,0.2,-0.4,0.5,0.4,0.5,0.2,-0.3,-0.2,-0.4,-0.1,-0.2,0.0,-0.5,-0.3,-0.2,-0.5,-0.6,-0.4,-0.2,-0.1,-0.3,-0.1,-0.2,-0.2,-0.2,-0.4,-0.5,-0.3,0.0,-0.1,0.0,-0.1,-0.4,-0.3,-0.5,-0.1,0.2,0.1,0.0,0.0,-0.2,0.1,0.1,-0.2,-0.3,-0.4,0.0,0.4,0.5,0.4,0.3,-0.2,0.1,-0.3,-0.4,-0.3,-0.2,-0.1,-0.1,0.0,-0.1,-0.1,0.0,-0.1,-0.2,0.0,-0.2,0.0,0.3,0.4,0.4,0.7,0.6,0.5,0.5,0.6,0.2,-0.2,-0.3,0.4,0.3,-0.2,0.1,0.5,0.4,0.6,0.7,0.7,0.6,0.5,0.6,0.7,0.6,0.7,0.7,0.5,0.5,0.5,-0.3,0.1,0.8,0.8,-0.2,-0.3,0.2,0.5,0.4,-0.2,-0.1,0.3,0.6,0.3,0.4,0.4,0.6,0.7,0.6,0.6,0.5
Total Cholesterol,-0.2,-0.2,-0.3,-0.2,-0.1,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.1,-0.2,-0.2,-0.1,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2,-0.1,-0.1,-0.2,-0.1,-0.3,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.1,-0.2,-0.3,-0.2,-0.1,-0.2,-0.1,-0.1,-0.3,-0.3,-0.3,-0.2,-0.1,-0.2,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,0.0,0.0,0.0,0.0,-0.2,0.0,-0.5,-0.5,-0.5,-0.4,-0.4,-0.4,-0.3,-0.4,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,0.1,0.3,0.3,0.3,0.5,0.5,0.3,0.4,0.4,0.3,-0.1,-0.2,0.3,0.3,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.2,0.3,0.3,-0.2,0.3,0.4,0.4,0.0,0.0,0.2,0.3,0.5,-0.2,-0.1,0.1,0.5,0.1,0.3,0.5,0.5,0.5,0.5,0.5,0.3
LDL Cholesterol,-0.2,-0.3,-0.3,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.4,-0.3,-0.4,-0.3,-0.3,-0.3,-0.3,0.2,0.1,0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.5,-0.3,-0.3,-0.4,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.3,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.2,-0.4,-0.4,-0.2,0.2,0.2,0.2,-0.3,-0.4,-0.2,-0.5,-0.5,-0.5,-0.4,-0.4,-0.4,-0.3,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.3,0.3,0.3,0.6,0.6,0.5,0.5,0.5,0.3,-0.2,-0.2,0.4,0.4,-0.2,-0.1,0.5,0.5,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.6,0.7,0.8,0.5,0.5,0.5,-0.3,-0.1,0.8,0.8,-0.1,-0.2,0.3,0.4,0.4,-0.2,-0.1,0.2,0.7,0.2,0.5,0.4,0.6,0.8,0.7,0.6,0.3
HDL Cholesterol,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.05,0.1,0.1,0.1,0.05,0.1,0.1,0.05,0.05,0.05,0.05,0.2,0.2,0.1,0.15,0.1,0.1,0.15,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.1,0.1,0.1,0.05,0.1,0.1,0.1,0.2,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.05,0.05,0.05,0.1,0.15,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1,0.1,0.1,-0.1,-0.1,0.1,0.1,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.1,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,0.1,0.1,-0.2,-0.2,0.1,0.1,-0.1,-0.1,-0.2,0.1,0.1,-0.1,-0.3,0.1,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.1
Triglycerides,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,0.1,0.1,0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,0.1,0.1,0.1,-0.1,-0.2,-0.1,-0.3,-0.2,-0.2,-0.2,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.1,0.1,-0.1,-0.1,0.1,-0.1,0.1,0.1,-0.1,-0.2,-0.2,-0.1,0.1,0.1,0.1,0.1,-0.2,0.1,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.2,-0.1,-0.1,0.2,0.2,-0.1,-0.1,0.4,0.4,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.5,-0.2,0.2,0.5,0.5,0.1,0.1,0.2,0.3,0.3,-0.1,-0.2,0.2,0.5,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.4
Apolipoprotein A1,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.3,0.2,0.1,0.2,0.1,0.1,0.3,0.3,0.3,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.1,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.3,0.4,0.4,0.2,0.3,0.4,0.4,0.1,0.1,0.2,0.3,0.4,0.2,0.1,0.1,0.5,0.2,0.3,0.5,0.5,0.5,0.5,0.5,0.3
Apolipoprotein B,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2,-0.1,-0.1,-0.2,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,-0.3,-0.3,-0.2,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.2,-0.3,-0.3,-0.2,-0.2,-0.4,-0.4,-0.1,-0.1,-0.2,-0.3,-0.4,-0.2,-0.1,-0.1,-0.4,-0.2,-0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.2
Vitamin D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
