,category,sub_category,name,Unnamed: 0,Carbohydrates,Proteins,Fats,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Iodine,Alanine,Arginine,Asparagine,Aspartic Acid,Cysteine,Glutamic Acid,Glutamine,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Trans Fatty Acids,Flavonoids,Carotenoids,Polyphenols,Glucosinolates,Phytosterols,Glucose,Fructose,Sucrose,Citric Acid,Lactic Acid,Fiber,Cholesterol,Antioxidants,Probiotics,Prebiotics,Water,Alcohol,Caffeine,Theobromine,Tannins,Lectins,Phytic Acid,Oxalates,bias,score
144,nosh,Snacks,beef_jerky,-158.4,-54.24,-39.60000000000003,-10.709999999999999,0,0.43200000000000005,0.194,7.5600000000000005,0.258,0.8339999999999997,0.0,30.3,-0.9920000000000005,0.0,-0.0,0.9000000000000001,0.0,84.39999999999999,2.5199999999999982,267.9,919.6000000000001,-60.0,-1994.9999999999989,-0.5100000000000001,80.1,0,-20.099999999999998,-0.0,-2336.0,-3212.0,0,-1168.0,-88.0,-2190.0,0,-1460.0,-438.0,-876.0,-1752.0,-1460.0,-292.0,-876.0,0,-876.0,-876.0,22.0,0,-876.0,-16.125,18.925,7.48,3.0140000000000002,-0.10400000000000001,-0.0,0.0,0.0,0.0,0,0.0,-3.185,-3.4050000000000002,-6.37,0,0,0.0,-485.6,0.0,0.0,0.0,5.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.59,-20171.533999999996
130,nosh,Breakfast Foods,egg,-143.0,-4.068,-15.12000000000001,-16.217999999999996,0,0.0432,0.485,0.10800000000000001,0.602,0.13899999999999998,21.6,94.94,-0.6820000000000004,0.0,-0.1979999999999999,1.8000000000000003,0.8700000000000001,236.32,1.1339999999999992,107.16,718.9600000000002,-15.12,-188.85999999999987,-0.17000000000000004,53.39999999999999,0,-20.099999999999998,-16.08,-954.84,-1243.92,0,-2077.58,-92.84,-3060.16,0,-602.98,-383.98,-906.66,-1368.02,-1268.74,-553.34,-744.6,0,-730.0,-861.4,18.04,0,-803.0,-19.995,30.28,10.472,4.521,-0.14300000000000002,-0.0,0.0,0.0,0.0,0,0.0,-0.0,-0.0,-0.0,0,0,0.0,-2264.11,2.7100000000000004,0.0,0.0,43.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,25.400000000000006,-16983.439799999996
126,nosh,Breakfast Foods,cereal,-138.60000000000002,-569.52,-9.600000000000007,-1.5299999999999998,0,1.2744,1.2319,15.66,0.516,2.0849999999999995,32.400000000000006,1212.0,-3.720000000000002,92.60999999999999,-1.0259999999999994,18.000000000000004,7.250000000000001,46.419999999999995,5.0399999999999965,44.65,75.24000000000001,-8.16,-879.1299999999994,-1.8700000000000006,177.99999999999997,0,-10.854,-46.89999999999999,-730.0,-876.0,0,-1752.0,-88.0,-4672.0,0,-730.0,-438.0,-730.0,-1314.0,-584.0,-438.0,-876.0,0,-876.0,-730.0,11.0,0,-876.0,-0.645,1.5140000000000002,2.9920000000000004,1.5070000000000001,-0.039,-0.0,0.19899999999999998,96.0,1.4140000000000001,0,560.0,-19.11,-20.43,-50.96,0,0,31.23,-0.0,0.0,0.0,0.67,2.32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6200000000000001,-0.0,-0.6699999999999982,-15032.160700000002
145,nosh,Fast Food,burger,-159.5,-135.6,-18.000000000000014,-19.889999999999997,0,0.10800000000000001,0.194,4.32,0.215,0.41699999999999987,5.4,40.4,-0.6200000000000003,22.049999999999997,-0.035999999999999976,1.26,29.000000000000004,337.59999999999997,1.2599999999999991,178.6,627.0000000000001,-24.0,-598.4999999999997,-0.4250000000000001,133.49999999999997,0,-8.04,-13.399999999999999,-1022.0,-1168.0,0,-1460.0,-88.0,-2190.0,0,-1022.0,-438.0,-876.0,-1460.0,-1314.0,-292.0,-730.0,0,-876.0,-730.0,22.0,0,-1022.0,-32.25,30.28,7.48,3.0140000000000002,-0.10400000000000001,-4.6499999999999995,19.9,144.0,141.4,0,56.0,-12.74,-6.8100000000000005,-6.37,0,0,15.615,-364.20000000000005,135.5,0.0,0.67,26.099999999999998,-0.0,-0.0,-0.0,-9.75,-0.09,-31.000000000000007,-11.100000000000001,2.42,-14159.372000000001
128,nosh,Breakfast Foods,waffle,-140.8,-189.84,-7.800000000000005,-16.064999999999998,0,0.0648,0.11639999999999999,1.296,0.17200000000000001,0.13899999999999998,5.4,70.7,-0.37200000000000016,2.2049999999999996,-0.17999999999999988,0.7200000000000002,7.250000000000001,211.0,1.5749999999999988,125.02,292.6,-16.8,-664.9999999999995,-0.10200000000000002,31.149999999999995,0,-4.3549999999999995,-7.369999999999999,-408.8,-452.59999999999997,0,-1211.8,-48.4,-3066.0,0,-467.2,-233.6,-467.2,-759.1999999999999,-613.1999999999999,-233.6,-452.59999999999997,0,-467.2,-467.2,12.1,0,-627.8,-19.35,26.495,7.48,3.0140000000000002,-0.065,-0.0,0.0,96.0,0.7070000000000001,0,112.0,-25.48,-20.43,-38.22,0,0,10.41,-364.20000000000005,0.0,0.0,0.067,34.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6200000000000001,-0.0,-13.17,-10454.137800000004
127,nosh,Breakfast Foods,Pancake,-139.70000000000002,-191.87400000000002,-7.200000000000005,-6.884999999999999,0,0.054000000000000006,0.097,1.1880000000000002,0.129,0.13899999999999998,5.4,60.6,-0.31000000000000016,2.2049999999999996,-0.17999999999999988,0.54,5.800000000000001,168.79999999999998,1.448999999999999,107.16,267.52000000000004,-15.6,-571.8999999999996,-0.08500000000000002,26.699999999999996,0,-4.02,-6.699999999999999,-394.2,-438.0,0,-1168.0,-44.0,-2920.0,0,-438.0,-219.0,-438.0,-730.0,-584.0,-219.0,-438.0,0,-438.0,-438.0,11.0,0,-584.0,-7.74,11.355,3.74,1.5070000000000001,-0.052000000000000005,-0.0,0.0,96.0,0.7070000000000001,0,112.0,-25.48,-20.43,-38.22,0,0,10.41,-364.20000000000005,0.0,0.0,0.067,34.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6200000000000001,-0.0,-13.17,-9975.199000000002
129,nosh,Breakfast Foods,oatmeal,-141.9,-447.48,-20.280000000000012,-10.556999999999999,0,0.8208000000000001,0.1358,0.9720000000000001,0.43,0.16679999999999995,0.0,117.16,-0.0,0.0,-0.0,0.54,0.0,227.88,2.708999999999998,1580.61,2186.1400000000003,-51.48,-2.6599999999999984,-0.5270000000000001,0.5339999999999999,0,-23.048,-0.0,-800.0799999999999,-982.5799999999999,0,-1708.2,-92.84,-2788.6,0,-567.9399999999999,-386.9,-633.64,-1175.3,-735.84,-213.16,-639.48,0,-846.8,-572.3199999999999,9.13,0,-696.42,-7.74,11.355,23.188000000000002,4.521,-0.364,-0.0,0.0,0.0,3.535,0,1.68,-4.459,-4.086,-5.096,0,0,104.1,-0.0,6.775,0.0,0.335,4.64,-0.0,-0.0,-0.0,-0.0,-0.0,-9.3,-0.0,7.609999999999999,-9274.1096
116,nosh,Baked,pastry,-127.60000000000001,-345.78000000000003,-6.000000000000004,-30.599999999999994,0,0.21600000000000003,0.194,1.62,0.215,0.06949999999999999,5.4,60.6,-0.31000000000000016,2.2049999999999996,-0.08999999999999994,2.7,29.000000000000004,211.0,0.9449999999999994,178.6,292.6,-14.399999999999999,-398.9999999999998,-0.11900000000000002,133.49999999999997,0,-6.699999999999999,-6.699999999999999,-438.0,-584.0,0,-876.0,-44.0,-2190.0,0,-292.0,-292.0,-584.0,-876.0,-730.0,-219.0,-438.0,0,-584.0,-438.0,11.0,0,-584.0,-64.5,45.42,14.96,4.521,-0.195,-4.6499999999999995,19.9,288.0,141.4,0,56.0,-63.7,-34.050000000000004,-127.4,0,0,20.82,-303.5,67.75,0.0,0.67,14.499999999999998,-0.0,-0.0,-0.0,-1.95,-0.18,-12.400000000000002,-5.550000000000001,-13.17,-9133.7385
141,nosh,Snacks,potato_chip,-155.10000000000002,-352.56,-8.400000000000006,-53.54999999999999,0,0.0648,0.029099999999999997,1.512,0.129,0.27799999999999997,0.0,80.8,-0.0,61.73999999999999,-0.0,6.300000000000001,87.00000000000001,101.28,0.8189999999999995,401.84999999999997,501.6000000000001,-144.0,-771.3999999999995,-0.13600000000000004,169.1,0,-0.8709999999999999,-0.0,-408.8,-511.0,0,-1284.8,-66.0,-1825.0,0,-467.2,-277.4,-496.4,-832.1999999999999,-627.8,-204.4,-613.1999999999999,0,-511.0,-408.8,11.0,0,-540.1999999999999,-64.5,151.4,29.92,4.521,-0.48100000000000004,-0.9299999999999999,19.9,0.0,353.5,0,112.0,-0.637,-0.681,-1.274,0,0,41.64,-0.0,27.1,0.0,0.0,1.16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.55,-8474.627099999998
118,nosh,Baked,brownie,-129.8,-372.90000000000003,-4.800000000000003,-38.24999999999999,0,0.21600000000000003,0.194,2.16,0.215,0.13899999999999998,4.32,60.6,-0.31000000000000016,4.409999999999999,-0.08999999999999994,2.7,29.000000000000004,295.4,1.5749999999999988,625.1,334.40000000000003,-24.0,-199.4999999999999,-0.17000000000000004,160.2,0,-6.699999999999999,-10.049999999999999,-365.0,-438.0,0,-730.0,-44.0,-1168.0,0,-292.0,-365.0,-438.0,-730.0,-584.0,-219.0,-438.0,0,-438.0,-365.0,16.5,0,-511.0,-77.4,60.56,14.96,4.521,-0.195,-4.6499999999999995,15.919999999999998,144.0,98.98,0,44.8,-127.4,-68.10000000000001,-178.36,0,0,10.41,-485.6,67.75,0.0,0.67,10.44,-0.0,-0.0,-0.0,-1.95,-0.18,-6.200000000000001,-5.550000000000001,-13.17,-6870.1849999999995
