Disease,Arthritis Diet,Vitamin C-rich foods,Ginger tea,Ginger,Coconut oil,Vertigo Diet,Protein-rich foods,Liver-Healthy Diet,Antifungal Diet,Hepatitis C Diet,Dengue Diet,Selenium-rich foods,Hypothyroidism Diet,Quercetin-rich foods,UTI Diet,Low-Tyramine Diet,Toast,Hydration,Warm fluids,TB Diet,Impetigo Diet,Whole grains,Anti-Inflammatory Diet,High-Calorie Diet,Hypoglycemia Diet,Honey and lemon tea,Applesauce,Malaria Diet,Bananas,Soft and bland foods,Garlic,Hepatitis B Diet,Cranberry juice,Lean proteins,Low-Iodine Diet,Caffeine withdrawal,Heart-Healthy Diet,Fiber-rich foods,Low-fat dairy,Elimination Diet,Hyperthyroidism Diet,Chicken Pox Diet,Vitamin D-rich foods,Low-Fat Diet,Low-fat Diet,Turmeric,Antibiotic treatment,Low-Glycemic Diet,High-Fiber Diet,Magnesium-rich foods,Fruits and vegetables,Hepatitis A Diet,Acne Diet,Balanced Diet,Oral rehydration solutions,Pneumonia Diet,Probiotics,Migraine Diet,Omega-3-rich foods,Aloe vera juice,Stool softeners,Varicose Veins Diet,Low-sodium foods,Iodine-rich foods,Bland Diet,Rice,Typhoid Diet,Calcium-rich foods,Hepatitis E Diet,Warm baths,DASH Diet,Antihistamine Diet,Cold Diet,Rest,Psoriasis Diet,Low-Salt Diet,Fresh fruits and vegetables,Protein-rich snacks,Hepatitis D Diet,Low-Acid Diet,Complex carbohydrates,Hemorrhoids Diet,Licorice,Healthy fats
Fungal infection,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Chronic cholestasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Drug Reaction,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gastroenteritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
