Disease,Consume easily digestible foods,Avoid caffeine and alcohol,Limit alcohol intake,Practice wound care,vaccination,Consult nearest hospital,Limit fatty and greasy foods,dont stand still for long,consume probiotic food,acetaminophen,warm bath with epsom salt,"Avoid trigger foods (spicy, fatty)","Avoid trigger foods (caffeine, alcohol)",Consult a healthcare professional,Avoid raw or undercooked foods,Practice good hygiene,Maintain a healthy weight,Consume a low-fat diet,Consume cranberry products,take vaccine,Consume magnesium-rich foods,Consume a balanced diet,Consume clear fluids,stop eating solid food for while,Consume omega-3 fatty acids,Consume cruciferous vegetables in moderation,try taking small sips of water,Include flavonoid-rich foods,lie down on side,Include ginger in diet,Consume regular meals and snacks,Include vitamin K-rich foods,Maintain a stable weight,relax,Include potassium-rich foods,Limit caffeine and stimulants,Manage stress,Gradually resume normal diet,avoid too many products,eat fruits and high fiberous food,Stay hydrated,Take prescribed medications as directed,Avoid alcohol consumption,Consume healthy fats,Include foods rich in vitamin C,cold baths,seek help,Avoid artificial additives,use heating pad or cold pack,ease back into eating,avoid oily food,avoid fatty spicy food,Include protein-rich foods,Include high-fiber foods,stop alcohol consumption,Eat balanced meals,follow up,Consume selenium-rich foods,get away from trigger,Eat fruits and vegetables,stop taking drug,Follow the DASH diet (Dietary Approaches to Stop Hypertension),lie down,Monitor blood sugar levels,take vapour,consume alovera juice,Limit sodium intake,Consume calcium-rich foods,use oinments,wear ppe if possible,Avoid alcohol and caffeine,Include antioxidants,Consume ginger and ginkgo biloba,increase vitamin c intake,use poloroid glasses in sun,Include nutrient-rich foods,Practice good posture,Avoid spicy and acidic foods,consume milk thistle,medication,Follow medical recommendations,Avoid sudden head movements,Identify and avoid trigger foods,have balanced diet,Avoid spicy and greasy foods,Include omega-3 fatty acids,Consume antioxidant-rich foods,Increase intake of garlic,eliminate milk,drink vitamin c rich drinks,avoid abrupt head movment,Consume antioxidants,Practice good skincare hygiene,keep mosquitos out,Limit artificial sweeteners,keep infected area dry,Include yogurt in diet,Eat foods rich in vitamin C,Limit iodine intake,drink papaya leaf juice,stop irritation,cover mouth,Consume foods rich in flavonoids,Consume complex carbohydrates,Consume foods rich in vitamins B and D,exercise,lie down flat and raise the leg high,use clean cloths,"Follow the BRAT diet (bananas, rice, applesauce, toast)",Consume foods rich in vitamin K,Include vitamin D-rich foods,drink plenty of water,Consume green tea,Consume non-citrus fruits,consume witch hazel,avoid lying down after eating,Consume immune-boosting foods,rest,Discontinue offending medication,use hot and cold therapy,Eat high-fiber foods,Consider phototherapy under medical guidance,Include quercetin-rich foods,get proper sleep,use antibiotics,Consume anti-inflammatory foods,Avoid sulfite-containing foods,Consume high-fiber foods,Include lean proteins,consult nearest hospital,Consume protein-rich foods,Limit sugary foods and beverages,Consult a skincare professional,Monitor carbohydrate intake,Consult a registered dietitian,Consume chicken soup,eat high calorie vegitables,Include iodine-rich foods,keep mosquitos away,Take prescribed supplements,Include healthy fats,stop bleeding using pressure,Eat a balanced diet,Include fiber-rich foods,remove scabs with wet compressed cloth,Limit caffeine and alcohol,Avoid standing or sitting for long periods,avoid public places,Avoid spicy foods,bath twice,"Consume smaller, more frequent meals",take deep breaths,Consume nutrient-rich foods,Maintain good hygiene,antiboitic therapy,Avoid fatty and greasy foods,Include anti-inflammatory foods,Include vitamin C-rich foods,Gradually reintroduce solid foods,use vein compression,Include bland foods,meditation,eat healthy,massage,Include turmeric in diet,Consume foods rich in vitamins A and C,Include magnesium-rich foods,Avoid allergenic foods,Avoid sugary foods,cover area with bandage,consume neem leaves,use lemon balm,switch to loose cloothing,avoid sudden change in body,Include easily digestible foods,Follow a heart-healthy diet,keep hydrated,limit alcohol,Consume a high-protein diet,salt baths,wash hands through,Avoid scratching,reduce stress,take probiotics,avoid open cuts,drink sugary drinks,keep calm,Consume riboflavin-rich foods,Chew food thoroughly,avoid cold food,Limit processed foods,take radioactive iodine treatment,try acupuncture,Include vitamin D analogues,Limit fatty foods,Eat foods rich in zinc,Consume smaller meals,chew or swallow asprin,Maintain regular meal times,maintain healthy weight,take otc pain reliver,Consume probiotics,call ambulance,consult doctor,Consume a high-fiber diet,wash hands with warm soapy water,Include zinc-rich foods,Engage in low-impact exercise,keep fever in check,Consume foods rich in vitamin C and antioxidants,Include antioxidant-rich foods,Engage in regular physical activity,Limit dairy and high-glycemic foods,Consume local honey,Rest and conserve energy,Follow a balanced and nutritious diet,Avoid smoking and alcohol,avoid non veg food,use neem in bathing,use detol or neem in bathing water,soak affected area in warm water,Avoid trigger foods,Include soft and easily digestible foods,Avoid late-night eating,Avoid fried foods,Engage in regular exercise,use ice to compress itching,anti itch medicine,drink cranberry juice,Avoid carbonated beverages,Consume foods rich in antioxidants,Take prescribed antibiotics,check in pulse,apply calamine,Limit alcohol consumption,Avoid dairy products,"Avoid trigger foods (spicy, acidic)"
Fungal infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
GERD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Chronic cholestasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Drug Reaction,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptic ulcer diseae,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIDS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bronchial Asthma,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
