name,category,sub_category,Carbohydrates,Proteins,Fats,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Iodine,Alanine,Arginine,Asparagine,Aspartic Acid,Cysteine,Glutamic Acid,Glutamine,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Trans Fatty Acids,Flavonoids,Carotenoids,Polyphenols,Glucosinolates,Phytosterols,Glucose,Fructose,Sucrose,Citric Acid,Lactic Acid,Fiber,Cholesterol,Antioxidants,Prebiotics,Water,Alcohol,Caffeine,Theobromine,Tannins,Lectins,Phytic Acid,Oxalates,nutriscore
Strawberry,fruit,Berries,0.09166666666666667,0.018918918918918916,0.0030303030303030303,0.00018867924528301886,0.012499999999999999,0.015384615384615384,0.02666666666666667,0.18749999999999997,0.05882352941176471,0.006060606060606061,0.028333333333333332,0.0,0.25766871165644173,0.0,0.008522727272727272,0.0012835472578763129,0.010062893081761006,0.009569377990430623,0.02195945945945946,0.019464720194647202,0.12073073868149325,0.0005425935973955507,0.0016666666666666668,0.0001282051282051282,0.04285714285714286,0.0,0.0,0.014375,0.010454545454545454,0.025806451612903226,0.029515108924806747,0.0,0.0184375,0.016,0.022,0.02666666666666667,0.01610305958132045,0.016666666666666666,0.016,0.005277044854881266,0.025,0.024,0.03666666666666667,0.023333333333333334,0.005,0.02,0.018571428571428572,0.0003225806451612903,0.0004385964912280702,0.0031914893617021275,0.0017543859649122807,0.0028947368421052633,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.26,0.10714285714285714,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.910010111223458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Blueberry,fruit,Berries,0.17261904761904762,0.018918918918918916,0.0030303030303030303,0.005094339622641509,0.01875,0.030769230769230767,0.02666666666666667,0.125,0.05882352941176471,0.0,0.01,0.0,0.04250657318141981,0.0,0.017045454545454544,0.011260210035005835,0.0037735849056603774,0.007177033492822967,0.010135135135135136,0.009732360097323601,0.06036536934074663,0.0005425935973955507,0.0033333333333333335,0.0001282051282051282,0.07142857142857142,0.0,0.0,0.015625,0.012272727272727272,0.026523297491039426,0.030217849613492623,0.0,0.0171875,0.017,0.023,0.02666666666666667,0.01932367149758454,0.015833333333333335,0.015,0.005277044854881266,0.023333333333333334,0.02,0.035,0.021666666666666667,0.005,0.018333333333333333,0.02,0.0004838709677419355,0.0008771929824561404,0.00425531914893617,0.0043859649122807015,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997,0.6799999999999999,0.028571428571428574,0.0024390243902439024,0.0,0.05714285714285714,0.0,0.0,0.0,0.839231547017189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Raspberry,fruit,Berries,0.14166666666666666,0.032432432432432434,0.00707070707070707,0.0,0.012499999999999999,0.023076923076923075,0.03333333333333333,0.125,0.05882352941176471,0.0,0.035,0.0,0.11481156879929887,0.0,0.008522727272727272,0.0045507584597432905,0.015723270440251572,0.01674641148325359,0.037162162162162164,0.023519870235198703,0.11914217633042097,0.0005425935973955507,0.005,0.0001282051282051282,0.09999999999999999,0.0,0.0,0.015,0.011818181818181818,0.024372759856630826,0.030217849613492623,0.0,0.01875,0.017,0.023,0.02666666666666667,0.01932367149758454,0.0175,0.017,0.005277044854881266,0.025,0.025,0.03666666666666667,0.023333333333333334,0.005,0.018333333333333333,0.018571428571428572,0.0003225806451612903,0.0008771929824561404,0.00425531914893617,0.0043859649122807015,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.45999999999999996,0.0642857142857143,0.0024390243902439024,0.0,0.15476190476190477,0.0,0.0,0.0,0.8594539939332658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Orange,fruit,Citrus Fruits,0.14047619047619048,0.024324324324324326,0.00101010101010101,0.0010377358490566038,0.0625,0.07692307692307693,0.02666666666666667,0.18749999999999997,0.05882352941176471,0.0,0.05,0.0,0.23312883435582823,0.0,0.005681818181818182,0.0,0.025157232704402517,0.002392344497607656,0.016891891891891893,0.0113544201135442,0.14297061159650518,0.0,0.0016666666666666668,0.05128205128205128,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016129032258064516,0.0002192982456140351,0.000851063829787234,0.0,0.0010526315789473684,0.0,0.0015,0.015384615384615385,0.024,0.0,0.0,0.1,0.24,0.19642857142857142,0.012195121951219513,0.0,0.05714285714285714,0.0,0.0007042253521126761,0.0,0.8665318503538928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Lime,fruit,Citrus Fruits,0.08333333333333333,0.016216216216216217,0.0030303030303030303,0.0047169811320754715,0.024999999999999998,0.015384615384615384,0.013333333333333334,0.0625,0.029411764705882356,0.0,0.0,0.0,0.12751971954425945,0.0,0.002840909090909091,0.0,0.020754716981132074,0.014354066985645933,0.016891891891891893,0.014598540145985401,0.08022239872915012,0.0010851871947911015,0.0016666666666666668,0.05128205128205128,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004838709677419355,0.0006578947368421052,0.0014893617021276596,0.0,0.001842105263157895,0.0,0.001,0.003076923076923077,0.01,0.0,0.0,0.06,0.16999999999999998,0.1464285714285714,0.00975609756097561,0.0,0.06666666666666667,0.0,0.0007042253521126761,0.0,0.8796764408493427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Mandarin,fruit,Citrus Fruits,0.10238095238095238,0.021621621621621623,0.0030303030303030303,0.05660377358490566,0.0625,0.07692307692307693,0.02666666666666667,0.18749999999999997,0.05882352941176471,0.0,0.03333333333333333,0.0,0.11700262927256792,0.0,0.005681818181818182,0.0,0.023270440251572325,0.002392344497607656,0.016891891891891893,0.010543390105433901,0.13105639396346305,0.0,0.0016666666666666668,0.05128205128205128,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004838709677419355,0.0004385964912280702,0.001702127659574468,0.0,0.002105263157894737,0.0,0.0015,0.023076923076923078,0.03,0.0,0.0,0.075,0.18,0.18928571428571428,0.008130081300813009,0.0,0.047619047619047616,0.0,0.0014084507042253522,0.0,0.8594539939332658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Banana,fruit,Tropical Fruits,0.2719047619047619,0.02945945945945946,0.0033333333333333335,0.0060377358490566035,0.019375,0.05615384615384615,0.044333333333333336,0.20875,0.21588235294117647,0.045454545454545456,0.03333333333333333,0.0,0.03812445223488168,0.0,0.0034090909090909085,0.00029171528588098014,0.0031446540880503146,0.006220095693779905,0.04560810810810811,0.027575020275750203,0.2835583796664019,0.0005425935973955507,0.0025,0.0001,0.038571428571428576,0.011185682326621923,0.02,3.75e-05,3e-05,0.00010752688172043011,0.00029515108924806744,0.00010426540284360189,0.00017812499999999998,6.1e-05,4.1e-05,0.00011,8.373590982286634e-05,7.083333333333334e-05,7.099999999999999e-05,6.860158311345646e-05,8.833333333333333e-05,5e-05,0.000125,7.000000000000001e-05,5e-05,7.5e-05,8.428571428571429e-05,0.001806451612903226,0.0017543859649122807,0.0014893617021276596,0.0014035087719298245,0.001,0.0,0.0005,0.008615384615384615,0.006,0.0,9.363295880149813e-05,0.6115,0.9289999999999999,0.061785714285714284,0.0013821138211382114,0.001,0.06190476190476191,0.0,0.0035211267605633804,0.011904761904761904,0.7476238624873609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Mango,fruit,Tropical Fruits,0.17833333333333334,0.02216216216216216,0.0038383838383838384,0.005094339622641509,0.03625,0.04384615384615385,0.0446,0.12625,0.06999999999999999,0.0,0.07166666666666667,0.0,0.15950920245398773,0.0,0.025568181818181816,0.0024504084014002336,0.006918238993710692,0.0038277511961722493,0.016891891891891893,0.027575020275750203,0.13264495631453535,0.0005425935973955507,0.0026666666666666666,0.00011538461538461538,0.012857142857142857,0.006711409395973153,0.01,2.3125e-05,1.2727272727272727e-05,6.021505376344086e-05,7.800421644413212e-05,4.739336492890995e-05,7.28125e-05,2.6e-05,2.9e-05,4.3333333333333334e-05,2.898550724637681e-05,2.25e-05,2.9e-05,3.16622691292876e-05,3.3333333333333335e-05,1.7999999999999997e-05,4.8333333333333334e-05,2.8333333333333335e-05,4e-05,3.3333333333333335e-05,2.857142857142857e-05,0.0014838709677419354,0.0019956140350877193,0.0007872340425531915,0.0007017543859649122,0.0005526315789473685,0.0,0.0125,0.021153846153846155,0.012,0.0,3.745318352059925e-05,0.4495,0.466,0.09428571428571429,0.004715447154471544,0.0006,0.0380952380952381,0.0,0.005633802816901409,0.007142857142857143,0.8234580384226491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Pineapple,fruit,Tropical Fruits,0.15619047619047619,0.014594594594594595,0.0012121212121212121,0.0002830188679245283,0.049374999999999995,0.03,0.03333333333333333,0.128125,0.06588235294117648,0.0,0.03,0.0,0.20946538124452235,0.0,0.0005681818181818182,0.0004084014002333722,0.008176100628930818,0.006937799043062201,0.02027027027027027,0.006488240064882401,0.0857823669579031,0.0005425935973955507,0.002,0.00014102564102564101,0.1285714285714286,0.0011185682326621924,0.02,1.8125e-05,1.2727272727272727e-05,4.301075268817204e-05,5.551651440618412e-05,9.004739336492891e-05,3.78125e-05,2.8e-05,2.5e-05,4.3333333333333334e-05,3.381642512077295e-05,2.4166666666666667e-05,2.4e-05,3.16622691292876e-05,2.6666666666666667e-05,1.7999999999999997e-05,4.3333333333333334e-05,2.6666666666666667e-05,3.5000000000000004e-05,2.3333333333333332e-05,3.1428571428571424e-05,0.001435483870967742,0.0005701754385964912,0.00023404255319148934,0.00017543859649122806,0.00018421052631578948,0.0,0.006,0.0,0.008,0.0,3.745318352059925e-05,0.45,0.765,0.07535714285714286,0.007317073170731708,0.001,0.03333333333333333,0.0,0.004929577464788732,0.004761904761904762,0.8594539939332658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
Guava,fruit,Tropical Fruits,0.17047619047619048,0.06891891891891891,0.009595959595959595,0.05886792452830188,0.041875,0.030769230769230767,0.07213333333333334,0.22999999999999998,0.06470588235294118,0.0,0.08166666666666667,0.0,1.0,0.0,0.020738636363636362,0.0015169194865810968,0.011320754716981131,0.0222488038277512,0.037162162162162164,0.027575020275750203,0.33042096902303414,0.0010851871947911015,0.0038333333333333336,0.0002884615384615385,0.06142857142857143,0.0,0.0,0.07375,0.053636363636363635,0.0996415770609319,0.16303583977512298,0.061611374407582936,0.106875,0.0,0.0,0.20666666666666667,0.16908212560386474,0.14333333333333334,0.117,0.0,0.205,0.0,0.25833333333333336,0.17333333333333334,0.0,0.0,0.20285714285714285,0.0022580645161290325,0.009210526315789473,0.003829787234042553,0.0030701754385964912,0.0028947368421052633,0.0,0.0,0.04,0.0,0.0,0.0,0.27,0.67,0.0642857142857143,0.0,0.0,0.1285714285714286,0.0,0.0,0.0,0.8291203235591507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
